index,text
224,@CoachMattStone That’s scarier than actual COVID-19 😂
225,This is the only thing that scares me about the virus 💔 https://t.co/MuI7b4QNPC
226,"By all means let's allow more American deaths that's the endgame.
#45sadminiscriminallynegligent
#25thAmendmentNow https://t.co/jHek0YTAVE"
227,Thank God...#PreachItPresidente https://t.co/6yVVrLkbX7
228,"#45sadminiscriminallynegligent
#25thAmendmentNow https://t.co/w8Dh9Tja9y"
229,"Good/safe luck to all the Nome-bound Iditarod teams. The dogs looked stoked and happy today, in a contagious way. N… https://t.co/jSsBxZtPmG"
230,Without question. https://t.co/onku0XD0Qv
231,Get him out of there. He's causing people to suffer and die by not letting the experts take over. This is criminal.… https://t.co/pfbCBuc1LB
232,"@RadioFreeTom @BulwarkOnline ""...for all Trump’s omnipresence on Twitter and cable TV, Pelosi remains the dominant… https://t.co/W0rabafqDl"
233,"SOME SAY MELANIA TRUMP SPREAD CORONAVIRUS BY SHAKING HANDS WITH PEOPLE EVEN AFTER SHE WAS TOLD NOT TO
Because THAT… https://t.co/d6wr3jEc33"
234,“What” https://t.co/oi3QzkJCOw
235,"May he be remembered for his dedication and commitment to his profession. My condolences to his family, friends &amp; c… https://t.co/CJRDqM30xY"
236,Sports are all that some kids have and it’s their only outlet. To take that away from them is cruel. Just because y… https://t.co/wz0tgO6qfz
237,This is a good way to look at it! https://t.co/FhGsmibC4C
238,"Quite Anxious to hear how #Trump will respond to a Washington State death from a #Coronavirus ""hoax"". This is serio… https://t.co/Z1O5EqGN1k"
239,"Thank you, @johncusack! This! Right here! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻✨ https://t.co/HeteoMOx5L"
240,Boss moves https://t.co/MuEXF2ItMx
241,@Pineaqples Shit and with how cheap flights are on behalf of corona I’m sure it would be cost effective at this poi… https://t.co/wfiHz38oEv
242,"This taskforce is ridiculously devoid of diversity in color of skin, gender and age. Horribly poor at representing… https://t.co/lPG9lmCmO6"
243,Heard a partisan hack gushing on CNBC yesterday how the Covid issue has tarnished T for getting re-election and giv… https://t.co/2gr2nfgkq8
244,Okay but ... this looks lit https://t.co/7B7McY6Gt5
245,I wonder if people know that the Corona virus isn't that big of a deal? The media just sucks these days and are way… https://t.co/2HMxDzToXJ
246,@FedEx https://t.co/b2Ofh7mSbA
247,"Italy Declares ""National Emergency"" As Coronavirus Cases Surge, Northern Italy On Lockdown: Virus Updates | Zero He… https://t.co/bastLQ7osa"
248,"Turn a bad to a good. I like that idea. Nursing homes, clinics, hospitals, homeless shelters, daycares, schools and… https://t.co/jY7MhPs1l5"
249,Schumer you’re such an idiot. https://t.co/SaJtKvjBpd
250,Another 'Nightmare At Sea': First COVID-19 Case Detected Aboard Cruise Ship Given 'Safe Harbor' In Cambodia | Zero… https://t.co/svVUXvpHKh
251,#SARSCoV19 #coronavirus #NewYorkState #NYC #Brooklyn #Queens #Bronx #HellsKitchen #StatenIsland #Manhattan ... watc… https://t.co/ZLzr3pMdAJ
252,@libbybakalar I officially ❤️ your dad. I’ve been on my ass sick for 4 days since returning from Italy. My family t… https://t.co/1s9ufW6J4Y
253,told my mom i think i have food poisoning and her response was “Could be the corona virus 🦠 😳”  LMAO
254,"Wuhan Lockdown Intensifies While First Coronavirus Case Reported In 'Unprepared' Africa | Zero Hedge https://t.co/r0gIc4Y33x

@ji"
255,Pickled Nancy doesn’t give a rats ass about anything that doesn’t benefit her!!👎 https://t.co/yPAPl5d3Dn
256,"Bih I’ve lived through H1N1, Anthrax being mailed to us, SARS, swine flu, bird flu, ALL THE FLUs! Corona virus can come for me bc I’m READY"
257,"CNN: DC mayor declares state of emergency due to coronavirus.
https://t.co/nN432wvqRR

via @GoogleNews"
258,"AK is in freak out mode since @GovDunleavy announced AK’s first confirmed case of COVID-19
But tbh, with as many ca… https://t.co/7JibVQNb64"
259,Corona virus is going to put Sanders in office. True if big
260,Alaskans 🤣 https://t.co/o7FvrsTJc4
261,Sudden Militarization Of Wuhan's P4 Lab Raises New Questions About The Origin Of The Deadly Covid-19 Virus | Zero H… https://t.co/TyEHRe2uzw
262,"@MissDeeMe12 And sometimes the rhymes don't make a Lick of sense...
(No COVID-19 Punn intended! 😖)"
263,"Excellent visual explanation of epidemic spread, containment strategies #COVID19 #Coronavirius #ebola #measles… https://t.co/1LMpFWUIJ1"
264,South Korean Coronavirus Cases Go Exponential As New Infections Soar By 70% In One Day | Zero Hedge https://t.co/dXNSq2W8DB
265,Another 'Nightmare At Sea': First COVID-19 Case Detected Aboard Cruise Ship Given 'Safe Harbor' In Cambodia | Zero… https://t.co/ZUllE9LDCA
266,"Coronavirus opportunity: Developers, stay home, and clean up your code | ZDNet https://t.co/f6mikSI33g"
267,Based https://t.co/eqEDPB4rqq
268,"I did buy a fair number of 3M shares the Monday after the corona virus outbreak was announced. Not moving up much,… https://t.co/UODQ4SkSZ6"
269,"33 people in California have tested positive for corona virus. 
California can’t get anything right 822 being teste… https://t.co/rp811nu2SY"
270,"Borscht cures everything, can confirm cabbage is necessary. It goes in borscht! https://t.co/F1HAmPUnnr"
271,My son is flying home from college unexpectedly due to the #coronavirus He is 6’8” and spent the first leg PHX&gt;SEA… https://t.co/NG8t8Pc0GT
272,"All guests on CNBC this am/Afternoon are suddenly Doctors and experts on Corona virus. 
"" virus will only last till… https://t.co/bbUDu22vh7"
273,There's trillions in the offshore tax haven cookie jar. Maybe we can use that to help everyone who needs it now. https://t.co/0GjZmhya5H
274,If you catch the Corona virus hookup with someone with lyme disease since a corona is always better with lime
275,@jackieluvsari You have the coronavirus..?
276,Let’s all prepare for 1) the corona virus 2) shelter in place drills and 3) cybercrime.  In Fairbanks we have “code… https://t.co/hgfB14ESWz
277,India's Leaders Claim Drinking Cow Urine Will Cure Covid-19 | Zero Hedge https://t.co/WjTw4jyosv
278,Also heard Corona sales were down. https://t.co/YWrqF3g6qV https://t.co/KhaxSh0zKk
279,"CDC Warns Coronavirus Coming To US, Will Be ""Tremendous Public Health Threat"" | Zero Hedge https://t.co/dXNSq2W8DB… https://t.co/bOO1lrHbvw"
280,#TrumpOwnsThisVirus https://t.co/caj4hOOLhp
281,Markets again set new all time highs again. Now totally discounting Corona virus and expecting Fed to keep printing.
282,Covid-19 Pandemic: The Complacent Are Clueless | Zero Hedge https://t.co/MSHTBkI5mR
283,👇nope #Thisadminastrationiscriminallynegligent https://t.co/Ykx2r0AD42
284,"Los Alamos Experts Warn Covid-19 ""Almost Certainly Cannot Be Contained"", Project Up To 4.4 Million Dead | Zero Hedge https://t.co/UFM4B2Etwn"
285,"Periodic reminder: The best way to ward off flu, corona virus, and lots of other germs that can make you sick is to… https://t.co/EnuTcpiLUX"
286,It’s our time now and we are going to take it! We will clean up the mess the Democrats have done to our country! We… https://t.co/eVpBmgxoz8
287,Holy crap!! https://t.co/lnKenqd4bp
